starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 24 22:58:21 2021	1627131501	3	13	16	13
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:22 2021	1627131502	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	13
Sat Jul 24 22:58:22 2021	1627131502	4	12	16	10
Sat Jul 24 22:58:21 2021	1627131501	3	13	16	13
Sat Jul 24 22:58:22 2021	1627131502	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:22 2021	1627131502	1	15	16	15
Sat Jul 24 22:58:22 2021	1627131502	1	15	16	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	13
Sat Jul 24 22:58:22 2021	1627131502	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	3	13	16	12
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	3	13	16	13
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	13
Sat Jul 24 22:58:22 2021	1627131502	1	15	16	15
Sat Jul 24 22:58:22 2021	1627131502	1	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	3	13	16	13
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:22 2021	1627131502	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:22 2021	1627131502	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	4	12	16	12
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	14
Sat Jul 24 22:58:21 2021	1627131501	1	15	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	0	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	3	13	16	13
Sat Jul 24 22:58:22 2021	1627131502	2	14	16	14
Sat Jul 24 22:58:22 2021	1627131502	5	11	16	10
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
Sat Jul 24 22:58:22 2021	1627131502	1	15	16	15
Sat Jul 24 22:58:21 2021	1627131501	2	14	16	14
